Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-23,04-11-2022,Girona,Ath Bilbao,2,1,H,0,0,D
2022-23,05-11-2022,Getafe,Cadiz,0,0,D,0,0,D
2022-23,05-11-2022,Valladolid,Elche,2,1,H,1,0,H
2022-23,05-11-2022,Celta,Osasuna,1,2,A,1,2,A
2022-23,05-11-2022,Barcelona,Almeria,2,0,H,0,0,D
2022-23,06-11-2022,Ath Madrid,Espanol,1,1,D,0,0,D
2022-23,06-11-2022,Sociedad,Valencia,1,1,D,1,1,D
2022-23,06-11-2022,Villarreal,Mallorca,0,2,A,0,1,A
2022-23,06-11-2022,Betis,Sevilla,1,1,D,1,0,H
2022-23,07-11-2022,Vallecano,Real Madrid,3,2,H,2,2,D
2022-23,08-11-2022,Elche,Girona,1,2,A,1,1,D
2022-23,08-11-2022,Ath Bilbao,Valladolid,3,0,H,1,0,H
2022-23,08-11-2022,Osasuna,Barcelona,1,2,A,1,0,H
2022-23,09-11-2022,Almeria,Getafe,1,0,H,1,0,H
2022-23,09-11-2022,Sevilla,Sociedad,1,2,A,1,2,A
2022-23,09-11-2022,Espanol,Villarreal,0,1,A,0,0,D
2022-23,09-11-2022,Mallorca,Ath Madrid,1,0,H,1,0,H
2022-23,10-11-2022,Vallecano,Celta,0,0,D,0,0,D
2022-23,10-11-2022,Valencia,Betis,3,0,H,0,0,D
2022-23,10-11-2022,Real Madrid,Cadiz,2,1,H,1,0,H
2022-23,29-12-2022,Girona,Vallecano,2,2,D,1,1,D
2022-23,29-12-2022,Betis,Ath Bilbao,0,0,D,0,0,D
2022-23,29-12-2022,Ath Madrid,Elche,2,0,H,0,0,D
2022-23,30-12-2022,Getafe,Mallorca,2,0,H,0,0,D
2022-23,30-12-2022,Cadiz,Almeria,1,1,D,0,1,A
2022-23,30-12-2022,Celta,Sevilla,1,1,D,1,0,H
2022-23,30-12-2022,Valladolid,Real Madrid,0,2,A,0,0,D
2022-23,31-12-2022,Barcelona,Espanol,1,1,D,1,0,H
2022-23,31-12-2022,Sociedad,Osasuna,2,0,H,1,0,H
2022-23,31-12-2022,Villarreal,Valencia,2,1,H,1,1,D
2022-23,06-01-2023,Elche,Celta,0,1,A,0,1,A
2022-23,06-01-2023,Valencia,Cadiz,0,1,A,0,1,A
2022-23,07-01-2023,Villarreal,Real Madrid,2,1,H,0,0,D
2022-23,07-01-2023,Mallorca,Valladolid,1,0,H,0,0,D
2022-23,07-01-2023,Espanol,Girona,2,2,D,0,1,A
2022-23,08-01-2023,Almeria,Sociedad,0,2,A,0,0,D
2022-23,08-01-2023,Vallecano,Betis,1,2,A,1,2,A
2022-23,08-01-2023,Sevilla,Getafe,2,1,H,1,0,H
2022-23,08-01-2023,Ath Madrid,Barcelona,0,1,A,0,1,A
2022-23,09-01-2023,Ath Bilbao,Osasuna,0,0,D,0,0,D
2022-23,13-01-2023,Celta,Villarreal,1,1,D,0,1,A
2022-23,14-01-2023,Valladolid,Vallecano,0,1,A,0,0,D
2022-23,14-01-2023,Girona,Sevilla,2,1,H,0,1,A
2022-23,14-01-2023,Osasuna,Mallorca,1,0,H,0,0,D
2022-23,14-01-2023,Sociedad,Ath Bilbao,3,1,H,2,1,H
2022-23,15-01-2023,Getafe,Espanol,1,2,A,1,1,D
2022-23,15-01-2023,Almeria,Ath Madrid,1,1,D,1,1,D
2022-23,16-01-2023,Cadiz,Elche,1,1,D,1,0,H
2022-23,20-01-2023,Mallorca,Celta,1,0,H,0,0,D
2022-23,21-01-2023,Vallecano,Sociedad,0,2,A,0,2,A
2022-23,21-01-2023,Espanol,Betis,1,0,H,1,0,H
2022-23,21-01-2023,Ath Madrid,Valladolid,3,0,H,3,0,H
2022-23,21-01-2023,Sevilla,Cadiz,1,0,H,0,0,D
2022-23,22-01-2023,Villarreal,Girona,1,0,H,0,0,D
2022-23,22-01-2023,Elche,Osasuna,1,1,D,0,1,A
2022-23,22-01-2023,Barcelona,Getafe,1,0,H,1,0,H
2022-23,22-01-2023,Ath Bilbao,Real Madrid,0,2,A,0,1,A
2022-23,23-01-2023,Valencia,Almeria,2,2,D,0,0,D
2022-23,27-01-2023,Almeria,Espanol,3,1,H,1,0,H
2022-23,28-01-2023,Cadiz,Mallorca,2,0,H,2,0,H
2022-23,28-01-2023,Girona,Barcelona,0,1,A,0,0,D
2022-23,28-01-2023,Sevilla,Elche,3,0,H,3,0,H
2022-23,28-01-2023,Getafe,Betis,0,1,A,0,0,D
2022-23,29-01-2023,Valladolid,Valencia,1,0,H,0,0,D
2022-23,29-01-2023,Osasuna,Ath Madrid,0,1,A,0,0,D
2022-23,29-01-2023,Celta,Ath Bilbao,1,0,H,0,0,D
2022-23,29-01-2023,Real Madrid,Sociedad,0,0,D,0,0,D
2022-23,30-01-2023,Villarreal,Vallecano,0,1,A,0,0,D
2022-23,01-02-2023,Betis,Barcelona,1,2,A,0,0,D
2022-23,02-02-2023,Real Madrid,Valencia,2,0,H,0,0,D
2022-23,03-02-2023,Ath Bilbao,Cadiz,4,1,H,3,1,H
2022-23,04-02-2023,Espanol,Osasuna,1,1,D,0,1,A
2022-23,04-02-2023,Elche,Villarreal,3,1,H,2,1,H
2022-23,04-02-2023,Ath Madrid,Getafe,1,1,D,0,0,D
2022-23,04-02-2023,Betis,Celta,3,4,A,2,2,D
2022-23,05-02-2023,Mallorca,Real Madrid,1,0,H,1,0,H
2022-23,05-02-2023,Girona,Valencia,1,0,H,0,0,D
2022-23,05-02-2023,Sociedad,Valladolid,0,1,A,0,0,D
2022-23,05-02-2023,Barcelona,Sevilla,3,0,H,0,0,D
